id,x,y,type,zone
Z7_C15,11.8422,5.4951,client,South
Z7_C16,7.0367,2.7647,client,South
Z8_C1,18.8882,1.2605,client,South-East Outer
Z8_C2,11.7448,0.6168,client,South-East Outer
Z8_C3,13.4702,3.724,client,South-East Outer
Z8_C4,17.9182,1.6008,client,South-East Outer
Z8_C5,17.6611,0.6486,client,South-East Outer
Z8_C6,14.0633,1.8311,client,South-East Outer
Z8_C7,17.7488,1.3656,client,South-East Outer
Z8_C8,19.6358,1.6747,client,South-East Outer
Z8_C9,16.0563,2.3981,client,South-East Outer
Z8_C10,19.7926,3.2173,client,South-East Outer
Z8_C11,19.3316,0.6921,client,South-East Outer
Z8_C12,19.6744,1.0714,client,South-East Outer
Z8_C13,19.5879,1.5928,client,South-East Outer
Z8_C14,17.014,1.8821,client,South-East Outer
Z8_C15,15.6683,3.0685,client,South-East Outer
Z8_C16,13.2371,3.4595,client,South-East Outer
