zone,from,to,weight_km,feasible
East,Z2_C8,Z2_C12,1.600983,True
East,Z2_C8,Z2_C13,2.745942,True
East,Z2_C8,Z2_C14,2.995942,True
East,Z2_C8,Z2_C15,2.109628,True
East,Z2_C8,Z2_C16,1.08342,True
East,Z2_C9,Z2_C10,4.481918,True
East,Z2_C9,Z2_C11,2.3185,True
East,Z2_C9,Z2_C12,2.310395,True
East,Z2_C9,Z2_C13,1.663204,True
East,Z2_C9,Z2_C14,4.834726,True
East,Z2_C9,Z2_C15,3.235486,True
East,Z2_C9,Z2_C16,1.907749,True
East,Z2_C10,Z2_C11,3.933408,True
East,Z2_C10,Z2_C12,2.464322,True
East,Z2_C10,Z2_C13,4.301099,True
East,Z2_C10,Z2_C14,0.369415,True
East,Z2_C10,Z2_C15,1.721582,True
East,Z2_C10,Z2_C16,3.670708,True
East,Z2_C11,Z2_C12,1.598601,True
East,Z2_C11,Z2_C13,0.768826,True
East,Z2_C11,Z2_C14,4.293906,True
East,Z2_C11,Z2_C15,2.220241,True
East,Z2_C11,Z2_C16,3.559932,True
East,Z2_C12,Z2_C13,1.84104,True
East,Z2_C12,Z2_C14,2.833617,True
East,Z2_C12,Z2_C15,0.935512,True
East,Z2_C12,Z2_C16,2.559421,True
East,Z2_C13,Z2_C14,4.669776,True
East,Z2_C13,Z2_C15,2.659577,True
East,Z2_C13,Z2_C16,3.186199,True
East,Z2_C14,Z2_C15,2.076964,True
East,Z2_C14,Z2_C16,3.950915,True
East,Z2_C15,Z2_C16,3.179555,True
South-East,Z3_Depot,Z3_C1,2.130422,True
South-East,Z3_Depot,Z3_C2,3.48077,True
South-East,Z3_Depot,Z3_C3,3.702627,True
South-East,Z3_Depot,Z3_C4,1.895043,True
South-East,Z3_Depot,Z3_C5,3.473396,True
South-East,Z3_Depot,Z3_C6,3.920417,True
South-East,Z3_Depot,Z3_C7,0.979152,True
South-East,Z3_Depot,Z3_C8,2.51207,True
South-East,Z3_Depot,Z3_C9,3.62877,True
South-East,Z3_Depot,Z3_C10,2.880902,True
South-East,Z3_Depot,Z3_C11,1.990701,True
South-East,Z3_Depot,Z3_C12,3.576,True
South-East,Z3_Depot,Z3_C13,2.270967,True
South-East,Z3_Depot,Z3_C14,2.115922,True
South-East,Z3_Depot,Z3_C15,1.617454,True
South-East,Z3_Depot,Z3_C16,1.738563,True
South-East,Z3_C1,Z3_C2,5.092083,True
South-East,Z3_C1,Z3_C3,3.371905,True
South-East,Z3_C1,Z3_C4,3.368935,True
South-East,Z3_C1,Z3_C5,5.122919,True
South-East,Z3_C1,Z3_C6,5.977395,True
South-East,Z3_C1,Z3_C7,2.955212,True
South-East,Z3_C1,Z3_C8,2.743222,True
South-East,Z3_C1,Z3_C9,2.640826,True
South-East,Z3_C1,Z3_C10,3.820759,True
South-East,Z3_C1,Z3_C11,0.845474,True
South-East,Z3_C1,Z3_C12,5.667787,True
South-East,Z3_C1,Z3_C13,2.644151,True
South-East,Z3_C1,Z3_C14,1.7234,True
South-East,Z3_C1,Z3_C15,3.482295,True
South-East,Z3_C1,Z3_C16,3.561832,True
South-East,Z3_C2,Z3_C3,7.138248,True
South-East,Z3_C2,Z3_C4,1.725264,True
South-East,Z3_C2,Z3_C5,0.118042,True
South-East,Z3_C2,Z3_C6,2.118106,True
South-East,Z3_C2,Z3_C7,2.531956,True
South-East,Z3_C2,Z3_C8,5.898652,True
South-East,Z3_C2,Z3_C9,7.102082,True
South-East,Z3_C2,Z3_C10,1.76888,True
South-East,Z3_C2,Z3_C11,4.443738,True
South-East,Z3_C2,Z3_C12,2.269928,True
South-East,Z3_C2,Z3_C13,5.646348,True
South-East,Z3_C2,Z3_C14,3.77402,True
South-East,Z3_C2,Z3_C15,1.888711,True
South-East,Z3_C2,Z3_C16,1.755748,True
South-East,Z3_C3,Z3_C4,5.596618,True
South-East,Z3_C3,Z3_C5,7.1163,True
South-East,Z3_C3,Z3_C6,7.032169,True
South-East,Z3_C3,Z3_C7,4.608589,True
South-East,Z3_C3,Z3_C8,1.260013,True
South-East,Z3_C3,Z3_C9,1.1562,True
South-East,Z3_C3,Z3_C10,6.507196,True
South-East,Z3_C3,Z3_C11,4.127036,True
South-East,Z3_C3,Z3_C12,6.587271,True
South-East,Z3_C3,Z3_C13,1.511975,True
South-East,Z3_C3,Z3_C14,4.905734,True
South-East,Z3_C3,Z3_C15,5.249561,True
South-East,Z3_C3,Z3_C16,5.383418,True
South-East,Z3_C4,Z3_C5,1.753998,True
South-East,Z3_C4,Z3_C6,2.996076,True
South-East,Z3_C4,Z3_C7,1.119803,True
South-East,Z3_C4,Z3_C8,4.4023,True
South-East,Z3_C4,Z3_C9,5.444725,True
South-East,Z3_C4,Z3_C10,1.16482,True
South-East,Z3_C4,Z3_C11,2.75183,True
South-East,Z3_C4,Z3_C12,2.857745,True
South-East,Z3_C4,Z3_C13,4.157694,True
South-East,Z3_C4,Z3_C14,2.181077,True
South-East,Z3_C4,Z3_C15,0.741999,True
South-East,Z3_C4,Z3_C16,0.657958,True
South-East,Z3_C5,Z3_C6,2.000065,True
South-East,Z3_C5,Z3_C7,2.515741,True
South-East,Z3_C5,Z3_C8,5.87287,True
South-East,Z3_C5,Z3_C9,7.099207,True
South-East,Z3_C5,Z3_C10,1.862241,True
South-East,Z3_C5,Z3_C11,4.487476,True
South-East,Z3_C5,Z3_C12,2.154569,True
South-East,Z3_C5,Z3_C13,5.62017,True
South-East,Z3_C5,Z3_C14,3.832735,True
South-East,Z3_C5,Z3_C15,1.869915,True
South-East,Z3_C5,Z3_C16,1.740016,True
South-East,Z3_C6,Z3_C7,3.022188,True
South-East,Z3_C6,Z3_C8,5.786316,True
South-East,Z3_C6,Z3_C9,7.335924,True
South-East,Z3_C6,Z3_C10,3.664459,True
South-East,Z3_C6,Z3_C11,5.560392,True
South-East,Z3_C6,Z3_C12,0.471233,True
South-East,Z3_C6,Z3_C13,5.543169,True
South-East,Z3_C6,Z3_C14,5.14144,True
South-East,Z3_C6,Z3_C15,2.550023,True
South-East,Z3_C6,Z3_C16,2.510193,True
South-East,Z3_C7,Z3_C8,3.377248,True
South-East,Z3_C7,Z3_C9,4.602333,True
South-East,Z3_C7,Z3_C10,2.259788,True
South-East,Z3_C7,Z3_C11,2.592619,True
South-East,Z3_C7,Z3_C12,2.723549,True
South-East,Z3_C7,Z3_C13,3.126562,True
South-East,Z3_C7,Z3_C14,2.377122,True
South-East,Z3_C7,Z3_C15,0.646563,True
South-East,Z3_C7,Z3_C16,0.776316,True
South-East,Z3_C8,Z3_C9,1.753204,True
South-East,Z3_C8,Z3_C10,5.373158,True
South-East,Z3_C8,Z3_C11,3.345414,True
South-East,Z3_C8,Z3_C12,5.346835,True
South-East,Z3_C8,Z3_C13,0.253289,True
South-East,Z3_C8,Z3_C14,4.008757,True
South-East,Z3_C8,Z3_C15,4.012067,True
South-East,Z3_C8,Z3_C16,4.147844,True
South-East,Z3_C9,Z3_C10,6.200265,True
South-East,Z3_C9,Z3_C11,3.471002,True
South-East,Z3_C9,Z3_C12,6.921399,True
South-East,Z3_C9,Z3_C13,1.933001,True
South-East,Z3_C9,Z3_C14,4.324018,True
South-East,Z3_C9,Z3_C15,5.245393,True
South-East,Z3_C9,Z3_C16,5.367327,True
South-East,Z3_C10,Z3_C11,3.044844,True
South-East,Z3_C10,Z3_C12,3.654661,True
South-East,Z3_C10,Z3_C13,5.139535,True
South-East,Z3_C10,Z3_C14,2.235664,True
South-East,Z3_C10,Z3_C15,1.887973,True
South-East,Z3_C10,Z3_C16,1.780656,True
South-East,Z3_C11,Z3_C12,5.30076,True
South-East,Z3_C11,Z3_C13,3.200399,True
South-East,Z3_C11,Z3_C14,0.880827,True
South-East,Z3_C11,Z3_C15,3.012529,True
South-East,Z3_C11,Z3_C16,3.066016,True
South-East,Z3_C12,Z3_C13,5.106068,True
South-East,Z3_C12,Z3_C14,4.944038,True
South-East,Z3_C12,Z3_C15,2.321537,True
South-East,Z3_C12,Z3_C16,2.305399,True
South-East,Z3_C13,Z3_C14,3.831239,True
South-East,Z3_C13,Z3_C15,3.760258,True
South-East,Z3_C13,Z3_C16,3.896272,True
South-East,Z3_C14,Z3_C15,2.624476,True
South-East,Z3_C14,Z3_C16,2.640581,True
South-East,Z3_C15,Z3_C16,0.139832,True
Center,Z4_C1,Z4_C2,5.170108,True
Center,Z4_C1,Z4_C3,3.889706,True
Center,Z4_C1,Z4_C4,5.151695,True
Center,Z4_C1,Z4_C5,1.816318,True
Center,Z4_C1,Z4_C6,0.737101,True
Center,Z4_C1,Z4_C7,3.127463,True
Center,Z4_C1,Z4_C8,1.490738,True
Center,Z4_C1,Z4_C9,3.754718,True
Center,Z4_C1,Z4_C10,3.219048,True
Center,Z4_C1,Z4_C11,2.699357,True
Center,Z4_C1,Z4_C12,5.959596,True
Center,Z4_C1,Z4_C13,3.003045,True
Center,Z4_C1,Z4_C14,2.882685,True
Center,Z4_C1,Z4_C15,2.347878,True
Center,Z4_C1,Z4_C16,3.104392,True
Center,Z4_C2,Z4_C3,4.61787,True
Center,Z4_C2,Z4_C4,0.461119,True
Center,Z4_C2,Z4_C5,4.955222,True
Center,Z4_C2,Z4_C6,4.865314,True
Center,Z4_C2,Z4_C7,2.670311,True
Center,Z4_C2,Z4_C8,3.685606,True
Center,Z4_C2,Z4_C9,3.690521,True
Center,Z4_C2,Z4_C10,2.076772,True
Center,Z4_C2,Z4_C11,4.566513,True
Center,Z4_C2,Z4_C12,1.008396,True
Center,Z4_C2,Z4_C13,2.927062,True
Center,Z4_C2,Z4_C14,5.153983,True
Center,Z4_C2,Z4_C15,3.38673,True
Center,Z4_C2,Z4_C16,4.596356,True
Center,Z4_C3,Z4_C4,4.935866,True
Center,Z4_C3,Z4_C5,2.168886,True
Center,Z4_C3,Z4_C6,3.153468,True
Center,Z4_C3,Z4_C7,2.210045,True
Center,Z4_C3,Z4_C8,3.267948,True
Center,Z4_C3,Z4_C9,0.927394,True
Center,Z4_C3,Z4_C10,3.026448,True
Center,Z4_C3,Z4_C11,1.199137,True
Center,Z4_C3,Z4_C12,4.756964,True
Center,Z4_C3,Z4_C13,1.99858,True
Center,Z4_C3,Z4_C14,1.302846,True
Center,Z4_C3,Z4_C15,2.129413,True
Center,Z4_C3,Z4_C16,0.798203,True
Center,Z4_C4,Z4_C5,5.099217,True
Center,Z4_C4,Z4_C6,4.909714,True
Center,Z4_C4,Z4_C7,2.891823,True
Center,Z4_C4,Z4_C8,3.689861,True
Center,Z4_C4,Z4_C9,4.012008,True
Center,Z4_C4,Z4_C10,2.209941,True
Center,Z4_C4,Z4_C11,4.790566,True
Center,Z4_C4,Z4_C12,1.380574,True
Center,Z4_C4,Z4_C13,3.14909,True
Center,Z4_C4,Z4_C14,5.383028,True
Center,Z4_C4,Z4_C15,3.543033,True
Center,Z4_C4,Z4_C16,4.854065,True
Center,Z4_C5,Z4_C6,1.102817,True
Center,Z4_C5,Z4_C7,2.351688,True
Center,Z4_C5,Z4_C8,1.883567,True
Center,Z4_C5,Z4_C9,2.302866,True
Center,Z4_C5,Z4_C10,2.891493,True
Center,Z4_C5,Z4_C11,0.982953,True
Center,Z4_C5,Z4_C12,5.496229,True
Center,Z4_C5,Z4_C13,2.118468,True
Center,Z4_C5,Z4_C14,1.066503,True
Center,Z4_C5,Z4_C15,1.568903,True
Center,Z4_C5,Z4_C16,1.371686,True
Center,Z4_C6,Z4_C7,2.578184,True
Center,Z4_C6,Z4_C8,1.25726,True
Center,Z4_C6,Z4_C9,3.054203,True
Center,Z4_C6,Z4_C10,2.823168,True
Center,Z4_C6,Z4_C11,1.962257,True
Center,Z4_C6,Z4_C12,5.573226,True
Center,Z4_C6,Z4_C13,2.41737,True
Center,Z4_C6,Z4_C14,2.166,True
Center,Z4_C6,Z4_C15,1.754255,True
Center,Z4_C6,Z4_C16,2.367294,True
Center,Z4_C7,Z4_C8,1.804583,True
Center,Z4_C7,Z4_C9,1.387736,True
Center,Z4_C7,Z4_C10,0.816488,True
Center,Z4_C7,Z4_C11,1.90059,True
Center,Z4_C7,Z4_C12,3.144781,True
Center,Z4_C7,Z4_C13,0.25766,True
Center,Z4_C7,Z4_C14,2.491915,True
Center,Z4_C7,Z4_C15,0.837481,True
Center,Z4_C7,Z4_C16,1.975286,True
Center,Z4_C8,Z4_C9,2.807572,True
Center,Z4_C8,Z4_C10,1.741428,True
Center,Z4_C8,Z4_C11,2.275335,True
Center,Z4_C8,Z4_C12,4.470136,True
Center,Z4_C8,Z4_C13,1.758625,True
Center,Z4_C8,Z4_C14,2.731259,True
Center,Z4_C8,Z4_C15,1.218052,True
Center,Z4_C8,Z4_C16,2.617206,True
Center,Z4_C9,Z4_C10,2.186565,True
Center,Z4_C9,Z4_C11,1.390582,True
Center,Z4_C9,Z4_C12,3.853552,True
Center,Z4_C9,Z4_C13,1.226392,True
Center,Z4_C9,Z4_C14,1.813534,True
Center,Z4_C9,Z4_C15,1.590108,True
Center,Z4_C9,Z4_C16,1.15859,True
Center,Z4_C10,Z4_C11,2.629581,True
Center,Z4_C10,Z4_C12,2.753779,True
Center,Z4_C10,Z4_C13,1.044113,True
Center,Z4_C10,Z4_C14,3.222287,True
Center,Z4_C10,Z4_C15,1.333602,True
Center,Z4_C10,Z4_C16,2.756465,True
Center,Z4_C11,Z4_C12,4.952295,True
Center,Z4_C11,Z4_C13,1.64293,True
Center,Z4_C11,Z4_C14,0.593665,True
Center,Z4_C11,Z4_C15,1.378015,True
Center,Z4_C11,Z4_C16,0.40517,True
Center,Z4_C12,Z4_C13,3.383936,True
Center,Z4_C12,Z4_C14,5.513743,True
Center,Z4_C12,Z4_C15,3.950086,True
Center,Z4_C12,Z4_C16,4.90138,True
Center,Z4_C13,Z4_C14,2.234345,True
Center,Z4_C13,Z4_C15,0.66344,True
Center,Z4_C13,Z4_C16,1.723928,True
Center,Z4_C14,Z4_C15,1.952379,True
Center,Z4_C14,Z4_C16,0.654945,True
Center,Z4_C15,Z4_C16,1.608512,True
West,Z5_Depot,Z5_C1,2.014336,True
West,Z5_Depot,Z5_C2,1.69038,True
West,Z5_Depot,Z5_C3,0.834116,True
West,Z5_Depot,Z5_C4,4.089046,True
West,Z5_Depot,Z5_C5,1.074632,True
West,Z5_Depot,Z5_C6,4.254828,True
West,Z5_Depot,Z5_C7,2.305734,True
West,Z5_Depot,Z5_C8,1.285022,True
West,Z5_Depot,Z5_C9,2.60381,True
West,Z5_Depot,Z5_C10,1.989823,True
West,Z5_Depot,Z5_C11,4.331682,True
West,Z5_Depot,Z5_C12,1.75415,True
West,Z5_Depot,Z5_C13,2.37239,True
West,Z5_Depot,Z5_C14,1.713175,True
West,Z5_Depot,Z5_C15,1.314055,True
West,Z5_Depot,Z5_C16,4.566443,True
West,Z5_C1,Z5_C2,1.98276,True
West,Z5_C1,Z5_C3,1.190893,True
West,Z5_C1,Z5_C4,6.062316,True
West,Z5_C1,Z5_C5,2.95873,True
West,Z5_C1,Z5_C6,5.794001,True
West,Z5_C1,Z5_C7,1.213945,True
West,Z5_C1,Z5_C8,2.657209,True
West,Z5_C1,Z5_C9,4.613475,True
West,Z5_C1,Z5_C10,2.907531,True
West,Z5_C1,Z5_C11,5.99154,True
West,Z5_C1,Z5_C12,1.376661,True
West,Z5_C1,Z5_C13,3.241514,True
West,Z5_C1,Z5_C14,2.153953,True
West,Z5_C1,Z5_C15,2.948567,True
West,Z5_C1,Z5_C16,6.116608,True
West,Z5_C2,Z5_C3,1.420016,True
West,Z5_C2,Z5_C4,5.337392,True
West,Z5_C2,Z5_C5,1.853675,True
West,Z5_C2,Z5_C6,5.899643,True
West,Z5_C2,Z5_C7,2.99246,True
West,Z5_C2,Z5_C8,2.962332,True
West,Z5_C2,Z5_C9,3.767599,True
West,Z5_C2,Z5_C10,3.6077,True
West,Z5_C2,Z5_C11,5.928343,True
West,Z5_C2,Z5_C12,2.754175,True
West,Z5_C2,Z5_C13,3.996342,True
West,Z5_C2,Z5_C14,0.18107,True
West,Z5_C2,Z5_C15,1.522435,True
West,Z5_C2,Z5_C16,6.203751,True
West,Z5_C3,Z5_C4,4.91783,True
West,Z5_C3,Z5_C5,1.783205,True
West,Z5_C3,Z5_C6,4.912954,True
West,Z5_C3,Z5_C7,1.735857,True
West,Z5_C3,Z5_C8,1.776547,True
West,Z5_C3,Z5_C9,3.437601,True
West,Z5_C3,Z5_C10,2.289252,True
West,Z5_C3,Z5_C11,5.041807,True
West,Z5_C3,Z5_C12,1.363856,True
West,Z5_C3,Z5_C13,2.672949,True
West,Z5_C3,Z5_C14,1.527934,True
West,Z5_C3,Z5_C15,1.842278,True
West,Z5_C3,Z5_C16,5.231733,True
West,Z5_C4,Z5_C5,3.484098,True
West,Z5_C4,Z5_C6,2.453312,True
West,Z5_C4,Z5_C7,5.929897,True
West,Z5_C4,Z5_C8,3.637458,True
West,Z5_C4,Z5_C9,1.570091,True
West,Z5_C4,Z5_C10,3.981034,True
West,Z5_C4,Z5_C11,2.002271,True
West,Z5_C4,Z5_C12,5.268564,True
West,Z5_C4,Z5_C13,4.000866,True
West,Z5_C4,Z5_C14,5.24462,True
West,Z5_C4,Z5_C15,3.861814,True
West,Z5_C4,Z5_C16,2.503283,True
West,Z5_C5,Z5_C6,4.26662,True
West,Z5_C5,Z5_C7,3.379096,True
West,Z5_C5,Z5_C8,1.93633,True
West,Z5_C5,Z5_C9,1.914906,True
West,Z5_C5,Z5_C10,2.716531,True
West,Z5_C5,Z5_C11,4.213799,True
